Team,Odds,W-L O/U,Result
Cleveland Cavaliers,280,56.5,57-25 (over)
Golden State Warriors,480,59.5,73-9 (over)
San Antonio Spurs,500,56.5,67-15 (over)
Oklahoma City Thunder,750,57.5,55-27 (under)
Los Angeles Clippers,1200,56.5,53-29 (under)
Houston Rockets,1500,56.5,41-41 (under)
Chicago Bulls,1600,50.5,42-40 (under)
New Orleans Pelicans,3300,45,30-52 (under)
Memphis Grizzlies,3300,50.5,42-40 (under)
Atlanta Hawks,3600,49.5,48-34 (under)
Miami Heat,4000,46.5,48-34 (over)
Washington Wizards,5500,45.5,41-41 (under)
Toronto Raptors,6600,46.5,56-26 (over)
Milwaukee Bucks,6800,42.5,33-49 (under)
Indiana Pacers,9000,41.5,45-37 (over)
Dallas Mavericks,12000,36.5,42-40 (over)
Utah Jazz,15000,42.5,40-42 (under)
Boston Celtics,15500,45.5,48-34 (over)
Los Angeles Lakers,20000,28.5,17-65 (under)
New York Knicks,24000,29.5,32-50 (over)
Detroit Pistons,25000,36.5,44-38 (over)
Phoenix Suns,30000,36.5,23-59 (under)
Portland Trail Blazers,30000,28.5,44-38 (over)
Sacramento Kings,30000,36,33-49 (under)
Brooklyn Nets,30000,27.5,21-61 (under)
Minnesota Timberwolves,30000,27.5,29-53 (over)
Denver Nuggets,30000,27.5,33-49 (over)
Charlotte Hornets,35000,34,48-34 (over)
Orlando Magic,50000,34.5,35-47 (over)
Philadelphia 76ers,100000,20.5,10-72 (under)
