Team,Odds,W-L O/U,Result
Los Angeles Lakers,225,62,57-25 (under)
Cleveland Cavaliers,300,61.5,61-21 (under)
Boston Celtics,450,56.5,50-32 (under)
San Antonio Spurs,1000,54.5,50-32 (under)
Orlando Magic,1000,57.5,59-23 (over)
Denver Nuggets,1500,52.5,53-29 (over)
Portland Trail Blazers,2000,52.5,50-32 (under)
Dallas Mavericks,2500,48.5,55-27 (over)
Utah Jazz,2500,49.5,53-29 (over)
Detroit Pistons,3300,41.5,27-55 (under)
Houston Rockets,4000,35.5,42-40 (over)
Miami Heat,4000,40,47-35 (over)
Atlanta Hawks,5000,44.5,53-29 (over)
Chicago Bulls,5000,40.5,41-41 (over)
New Orleans Hornets,5000,46.5,37-45 (under)
New York Knicks,6600,31.5,29-53 (under)
Philadelphia 76ers,6600,40.5,27-55 (under)
Phoenix Suns,6600,40.5,54-28 (over)
Toronto Raptors,6600,40.5,40-42 (under)
Washington Wizards,8000,41.5,26-56 (under)
Indiana Pacers,10000,34.5,32-50 (under)
Oklahoma City Thunder,12500,33.5,50-32 (over)
New Jersey Nets,12500,27.5,12-70 (under)
Golden State Warriors,12500,34.5,26-56 (under)
Charlotte Bobcats,12500,36.5,44-38 (over)
Memphis Grizzlies,15000,27.5,40-42 (over)
Los Angeles Clippers,15000,34.5,29-53 (under)
Minnesota Timberwolves,20000,26.5,15-67 (under)
Milwaukee Bucks,20000,26.5,46-36 (over)
Sacramento Kings,25000,24.5,25-57 (over)
