Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
21 Jun 2013,Miami Heat,San Antonio Spurs,95,88,1.43,2.97,1,1,0
19 Jun 2013,Miami Heat,San Antonio Spurs,103,100,1.33,3.47,1,1,0
17 Jun 2013,San Antonio Spurs,Miami Heat,114,104,1.96,1.87,1,1,0
14 Jun 2013,San Antonio Spurs,Miami Heat,93,109,1.95,1.87,0,1,0
12 Jun 2013,San Antonio Spurs,Miami Heat,113,77,1.76,2.10,1,1,0
10 Jun 2013,Miami Heat,San Antonio Spurs,103,84,1.33,3.48,1,1,0
07 Jun 2013,Miami Heat,San Antonio Spurs,88,92,1.41,2.95,0,1,0
04 Jun 2013,Miami Heat,Indiana Pacers,99,76,1.28,3.88,1,1,0
02 Jun 2013,Indiana Pacers,Miami Heat,91,77,2.26,1.68,1,1,0
31 May 2013,Miami Heat,Indiana Pacers,90,79,1.25,4.20,1,1,0
29 May 2013,Indiana Pacers,Miami Heat,99,92,2.26,1.68,1,1,0
28 May 2013,Memphis Grizzlies,San Antonio Spurs,86,93,1.70,2.22,0,1,0
27 May 2013,Indiana Pacers,Miami Heat,96,114,2.05,1.80,0,1,0
26 May 2013,Memphis Grizzlies,San Antonio Spurs,93,104,1.48,2.76,0,1,0
25 May 2013,Miami Heat,Indiana Pacers,93,97,1.27,3.99,0,1,0
23 May 2013,Miami Heat,Indiana Pacers,103,102,1.22,4.53,1,1,0
22 May 2013,San Antonio Spurs,Memphis Grizzlies,93,89,1.43,2.92,1,1,0
19 May 2013,San Antonio Spurs,Memphis Grizzlies,105,83,1.49,2.73,1,1,0
19 May 2013,Indiana Pacers,New York Knicks,106,99,1.46,2.83,1,1,0
17 May 2013,Golden State Warriors,San Antonio Spurs,82,94,2.17,1.73,0,1,0
17 May 2013,New York Knicks,Indiana Pacers,85,75,1.49,2.72,1,1,0
16 May 2013,Oklahoma City Thunder,Memphis Grizzlies,84,88,1.49,2.73,0,1,0
