Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
15 Jun 2009,Orlando Magic,Los Angeles Lakers,86,99,1.59,2.44,0,1,0
12 Jun 2009,Orlando Magic,Los Angeles Lakers,91,99,1.82,1.99,0,1,0
10 Jun 2009,Orlando Magic,Los Angeles Lakers,108,104,1.49,2.71,1,1,0
08 Jun 2009,Los Angeles Lakers,Orlando Magic,101,96,1.29,3.71,1,1,0
05 Jun 2009,Los Angeles Lakers,Orlando Magic,100,75,1.34,3.40,1,1,0
31 May 2009,Orlando Magic,Cleveland Cavaliers,103,90,1.74,2.15,1,1,0
30 May 2009,Denver Nuggets,Los Angeles Lakers,92,119,1.46,2.79,0,1,0
29 May 2009,Cleveland Cavaliers,Orlando Magic,112,102,1.23,4.33,1,1,0
28 May 2009,Los Angeles Lakers,Denver Nuggets,103,94,1.37,3.20,1,1,0
27 May 2009,Orlando Magic,Cleveland Cavaliers,116,114,2.00,1.82,1,1,0
26 May 2009,Denver Nuggets,Los Angeles Lakers,120,101,1.49,2.69,1,1,0
25 May 2009,Orlando Magic,Cleveland Cavaliers,99,89,1.81,2.02,1,1,0
24 May 2009,Denver Nuggets,Los Angeles Lakers,97,103,1.60,2.41,0,1,0
23 May 2009,Cleveland Cavaliers,Orlando Magic,96,95,1.15,5.92,1,1,0
22 May 2009,Los Angeles Lakers,Denver Nuggets,103,106,1.39,3.11,0,1,0
21 May 2009,Cleveland Cavaliers,Orlando Magic,106,107,1.20,4.92,0,1,0
20 May 2009,Los Angeles Lakers,Denver Nuggets,105,103,1.32,3.46,1,1,0
18 May 2009,Boston Celtics,Orlando Magic,82,101,1.67,2.27,0,1,0
17 May 2009,Los Angeles Lakers,Houston Rockets,89,70,1.07,9.40,1,1,0
15 May 2009,Houston Rockets,Los Angeles Lakers,95,80,4.85,1.21,1,1,0
14 May 2009,Orlando Magic,Boston Celtics,83,75,1.31,3.61,1,1,0
14 May 2009,Denver Nuggets,Dallas Mavericks,124,110,1.16,5.71,1,1,0
13 May 2009,Los Angeles Lakers,Houston Rockets,118,78,1.06,9.82,1,1,0
13 May 2009,Boston Celtics,Orlando Magic,92,88,1.73,2.15,1,1,0
12 May 2009,Dallas Mavericks,Denver Nuggets,119,117,1.69,2.23,1,1,0
11 May 2009,Atlanta Hawks,Cleveland Cavaliers,74,84,5.63,1.15,0,1,0
11 May 2009,Orlando Magic,Boston Celtics,94,95,1.44,2.90,0,1,0
10 May 2009,Houston Rockets,Los Angeles Lakers,99,87,4.22,1.26,1,1,0
10 May 2009,Atlanta Hawks,Cleveland Cavaliers,82,97,4.75,1.22,0,1,0
09 May 2009,Dallas Mavericks,Denver Nuggets,105,106,1.59,2.46,0,1,0
09 May 2009,Houston Rockets,Los Angeles Lakers,94,108,2.06,1.79,0,1,0
08 May 2009,Orlando Magic,Boston Celtics,117,96,1.48,2.69,1,1,0
08 May 2009,Cleveland Cavaliers,Atlanta Hawks,105,85,1.06,10.60,1,1,0
07 May 2009,Los Angeles Lakers,Houston Rockets,111,98,1.12,6.96,1,1,0
07 May 2009,Boston Celtics,Orlando Magic,112,94,1.51,2.67,1,1,0
06 May 2009,Denver Nuggets,Dallas Mavericks,117,105,1.32,3.55,1,1,0
06 May 2009,Cleveland Cavaliers,Atlanta Hawks,99,72,1.08,8.95,1,1,0
05 May 2009,Los Angeles Lakers,Houston Rockets,92,100,1.20,5.02,0,1,0
05 May 2009,Boston Celtics,Orlando Magic,90,95,1.81,2.01,0,1,0
03 May 2009,Denver Nuggets,Dallas Mavericks,109,95,1.34,3.45,1,1,0
03 May 2009,Atlanta Hawks,Miami Heat,91,78,1.41,3.04,1,1,0
03 May 2009,Boston Celtics,Chicago Bulls,109,99,1.34,3.28,1,1,0
02 May 2009,Miami Heat,Atlanta Hawks,98,72,1.48,2.74,1,1,0
01 May 2009,Houston Rockets,Portland Trail Blazers,92,76,1.44,2.91,1,1,0
30 Apr 2009,Philadelphia 76ers,Orlando Magic,89,114,1.37,3.16,0,1,0
30 Apr 2009,Chicago Bulls,Boston Celtics,128,127,1.66,2.27,1,1,0
30 Apr 2009,Denver Nuggets,New Orleans Pelicans,107,86,1.12,6.64,1,1,0
30 Apr 2009,Atlanta Hawks,Miami Heat,106,91,1.35,3.32,1,1,0
29 Apr 2009,Portland Trail Blazers,Houston Rockets,88,77,1.40,3.09,1,1,0
29 Apr 2009,San Antonio Spurs,Dallas Mavericks,93,106,1.42,2.88,0,1,0
28 Apr 2009,Orlando Magic,Philadelphia 76ers,91,78,1.21,4.70,1,1,0
28 Apr 2009,Boston Celtics,Chicago Bulls,106,104,1.25,4.27,1,1,0
28 Apr 2009,Los Angeles Lakers,Utah Jazz,107,96,1.07,9.80,1,1,0
28 Apr 2009,New Orleans Pelicans,Denver Nuggets,63,121,1.77,2.07,0,1,0
28 Apr 2009,Miami Heat,Atlanta Hawks,71,81,1.45,2.81,0,1,0
27 Apr 2009,Houston Rockets,Portland Trail Blazers,89,88,1.45,2.88,1,1,0
26 Apr 2009,Philadelphia 76ers,Orlando Magic,81,84,2.71,1.49,0,1,0
