Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
17 Jun 2015,Cleveland Cavaliers,Golden State Warriors,97,105,2.30,1.67,0,1,0
15 Jun 2015,Golden State Warriors,Cleveland Cavaliers,104,91,1.22,4.66,1,1,0
12 Jun 2015,Cleveland Cavaliers,Golden State Warriors,82,103,2.59,1.55,0,1,0
10 Jun 2015,Cleveland Cavaliers,Golden State Warriors,96,91,2.11,1.79,1,1,0
08 Jun 2015,Golden State Warriors,Cleveland Cavaliers,93,95,1.30,3.76,0,1,0
05 Jun 2015,Golden State Warriors,Cleveland Cavaliers,108,100,1.42,3.05,1,1,0
28 May 2015,Golden State Warriors,Houston Rockets,104,90,1.19,5.02,1,1,0
27 May 2015,Cleveland Cavaliers,Atlanta Hawks,118,88,1.30,3.74,1,1,0
26 May 2015,Houston Rockets,Golden State Warriors,128,115,2.64,1.54,1,1,0
25 May 2015,Cleveland Cavaliers,Atlanta Hawks,114,111,1.25,4.13,1,1,0
24 May 2015,Houston Rockets,Golden State Warriors,80,115,1.81,2.06,0,1,0
23 May 2015,Atlanta Hawks,Cleveland Cavaliers,82,94,1.62,2.40,0,1,0
22 May 2015,Golden State Warriors,Houston Rockets,99,98,1.20,4.88,1,1,0
21 May 2015,Atlanta Hawks,Cleveland Cavaliers,89,97,1.73,2.19,0,1,0
20 May 2015,Golden State Warriors,Houston Rockets,110,106,1.16,5.74,1,1,0
17 May 2015,Houston Rockets,Los Angeles Clippers,113,100,2.17,1.74,1,1,0
16 May 2015,Memphis Grizzlies,Golden State Warriors,95,108,2.80,1.47,0,1,0
15 May 2015,Washington Wizards,Atlanta Hawks,91,94,1.72,2.21,0,1,0
15 May 2015,Los Angeles Clippers,Houston Rockets,107,119,1.23,4.43,0,1,0
15 May 2015,Chicago Bulls,Cleveland Cavaliers,73,94,1.74,2.17,0,1,0
14 May 2015,Golden State Warriors,Memphis Grizzlies,98,78,1.17,5.38,1,1,0
14 May 2015,Atlanta Hawks,Washington Wizards,82,81,1.32,3.60,1,1,0
13 May 2015,Houston Rockets,Los Angeles Clippers,124,103,2.27,1.68,1,1,0
12 May 2015,Cleveland Cavaliers,Chicago Bulls,106,101,1.42,3.02,1,1,0
12 May 2015,Memphis Grizzlies,Golden State Warriors,84,101,2.52,1.58,0,1,0
11 May 2015,Washington Wizards,Atlanta Hawks,101,106,2.71,1.50,0,1,0
11 May 2015,Los Angeles Clippers,Houston Rockets,128,95,1.35,3.41,1,1,0
10 May 2015,Chicago Bulls,Cleveland Cavaliers,84,86,2.36,1.64,0,1,0
10 May 2015,Memphis Grizzlies,Golden State Warriors,99,89,2.62,1.53,1,1,0
09 May 2015,Washington Wizards,Atlanta Hawks,103,101,2.63,1.54,1,1,0
09 May 2015,Los Angeles Clippers,Houston Rockets,124,99,1.38,3.20,1,1,0
09 May 2015,Chicago Bulls,Cleveland Cavaliers,99,96,1.72,2.20,1,1,0
07 May 2015,Houston Rockets,Los Angeles Clippers,115,109,1.26,4.04,1,1,0
06 May 2015,Cleveland Cavaliers,Chicago Bulls,106,91,1.40,3.14,1,1,0
06 May 2015,Golden State Warriors,Memphis Grizzlies,90,97,1.17,5.46,0,1,0
06 May 2015,Atlanta Hawks,Washington Wizards,106,90,1.22,4.65,1,1,0
05 May 2015,Houston Rockets,Los Angeles Clippers,101,117,1.29,3.83,0,1,0
04 May 2015,Cleveland Cavaliers,Chicago Bulls,92,99,1.50,2.72,0,1,0
03 May 2015,Golden State Warriors,Memphis Grizzlies,101,86,1.16,5.92,1,1,0
03 May 2015,Atlanta Hawks,Washington Wizards,98,104,1.44,2.91,0,1,0
03 May 2015,Los Angeles Clippers,San Antonio Spurs,111,109,1.69,2.26,1,1,0
02 May 2015,Brooklyn Nets,Atlanta Hawks,87,111,2.78,1.48,0,1,0
01 May 2015,San Antonio Spurs,Los Angeles Clippers,96,102,1.40,3.14,0,1,0
30 Apr 2015,Milwaukee Bucks,Chicago Bulls,66,120,2.49,1.59,0,1,0
30 Apr 2015,Memphis Grizzlies,Portland Trail Blazers,99,93,1.39,3.15,1,1,0
29 Apr 2015,Atlanta Hawks,Brooklyn Nets,107,97,1.21,4.68,1,1,0
29 Apr 2015,Los Angeles Clippers,San Antonio Spurs,107,111,1.71,2.22,0,1,0
29 Apr 2015,Houston Rockets,Dallas Mavericks,103,94,1.27,4.03,1,1,0
28 Apr 2015,Portland Trail Blazers,Memphis Grizzlies,99,92,1.57,2.52,1,1,0
28 Apr 2015,Chicago Bulls,Milwaukee Bucks,88,94,1.25,4.14,0,1,0
27 Apr 2015,Brooklyn Nets,Atlanta Hawks,120,115,2.83,1.46,1,1,0
27 Apr 2015,Dallas Mavericks,Houston Rockets,121,109,2.28,1.68,1,1,0
26 Apr 2015,Washington Wizards,Toronto Raptors,125,94,1.38,3.16,1,1,0
26 Apr 2015,San Antonio Spurs,Los Angeles Clippers,105,114,1.38,3.21,0,1,0
26 Apr 2015,Boston Celtics,Cleveland Cavaliers,93,101,3.49,1.33,0,1,0
26 Apr 2015,Portland Trail Blazers,Memphis Grizzlies,109,115,1.62,2.40,0,1,0
26 Apr 2015,New Orleans Pelicans,Golden State Warriors,98,109,3.33,1.36,0,1,0
25 Apr 2015,Milwaukee Bucks,Chicago Bulls,92,90,2.53,1.57,1,1,0
