Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
16 Jun 2014,San Antonio Spurs,Miami Heat,104,87,1.44,2.88,1,1,0
13 Jun 2014,Miami Heat,San Antonio Spurs,86,107,1.43,2.97,0,1,0
11 Jun 2014,Miami Heat,San Antonio Spurs,92,111,1.51,2.66,0,1,0
09 Jun 2014,San Antonio Spurs,Miami Heat,96,98,1.56,2.53,0,1,0
06 Jun 2014,San Antonio Spurs,Miami Heat,110,95,1.44,2.91,1,1,0
01 Jun 2014,Oklahoma City Thunder,San Antonio Spurs,107,112,1.62,2.38,0,1,0
31 May 2014,Miami Heat,Indiana Pacers,117,92,1.24,4.34,1,1,0
30 May 2014,San Antonio Spurs,Oklahoma City Thunder,117,89,1.45,2.84,1,1,0
29 May 2014,Indiana Pacers,Miami Heat,93,90,1.92,1.93,1,1,0
28 May 2014,Oklahoma City Thunder,San Antonio Spurs,105,92,1.75,2.15,1,1,0
27 May 2014,Miami Heat,Indiana Pacers,102,90,1.36,3.27,1,1,0
26 May 2014,Oklahoma City Thunder,San Antonio Spurs,106,97,1.71,2.20,1,1,0
25 May 2014,Miami Heat,Indiana Pacers,99,87,1.34,3.41,1,1,0
22 May 2014,San Antonio Spurs,Oklahoma City Thunder,112,77,1.43,2.90,1,1,0
21 May 2014,Indiana Pacers,Miami Heat,83,87,2.22,1.70,0,1,0
20 May 2014,San Antonio Spurs,Oklahoma City Thunder,122,105,1.38,3.20,1,1,0
18 May 2014,Indiana Pacers,Miami Heat,107,96,2.13,1.76,1,1,0
16 May 2014,Los Angeles Clippers,Oklahoma City Thunder,98,104,1.52,2.64,0,1,0
16 May 2014,Washington Wizards,Indiana Pacers,80,93,1.55,2.55,0,1,0
15 May 2014,San Antonio Spurs,Portland Trail Blazers,104,82,1.24,4.19,1,1,0
14 May 2014,Miami Heat,Brooklyn Nets,96,94,1.29,3.75,1,1,0
14 May 2014,Oklahoma City Thunder,Los Angeles Clippers,105,104,1.42,2.97,1,1,0
13 May 2014,Indiana Pacers,Washington Wizards,79,102,1.42,2.96,0,1,0
13 May 2014,Portland Trail Blazers,San Antonio Spurs,103,92,2.56,1.55,1,1,0
13 May 2014,Brooklyn Nets,Miami Heat,96,102,2.12,1.76,0,1,0
12 May 2014,Washington Wizards,Indiana Pacers,92,95,1.63,2.37,0,1,0
11 May 2014,Los Angeles Clippers,Oklahoma City Thunder,101,99,1.47,2.76,1,1,0
11 May 2014,Portland Trail Blazers,San Antonio Spurs,103,118,1.91,1.91,0,1,0
11 May 2014,Brooklyn Nets,Miami Heat,104,90,1.98,1.85,1,1,0
10 May 2014,Los Angeles Clippers,Oklahoma City Thunder,112,118,1.55,2.57,0,1,0
10 May 2014,Washington Wizards,Indiana Pacers,63,85,1.48,2.73,0,1,0
09 May 2014,San Antonio Spurs,Portland Trail Blazers,114,97,1.34,3.43,1,1,0
08 May 2014,Miami Heat,Brooklyn Nets,94,82,1.29,3.78,1,1,0
