Team,Odds,W-L O/U,Result
Golden State Warriors,-128,66.5,67-15 (over)
Cleveland Cavaliers,385,56.5,51-31 (under)
San Antonio Spurs,925,57.5,61-21 (over)
Boston Celtics,2900,52.5,53-29 (over)
Los Angeles Clippers,3500,53.5,51-31 (under)
Toronto Raptors,5500,50.5,51-31 (over)
Oklahoma City Thunder,6000,45,47-35 (over)
New York Knicks,7500,38.5,31-51 (under)
Indiana Pacers,8000,44.5,42-40 (under)
Memphis Grizzlies,8800,42.5,43-39 (over)
Chicago Bulls,9000,39,41-41 (over)
Utah Jazz,10000,47.5,51-31 (over)
Atlanta Hawks,10000,43.5,43-39 (under)
Minnesota Timberwolves,10000,41.5,31-51 (under)
Portland Trail Blazers,13000,45.5,41-41 (under)
Detroit Pistons,14000,44.5,37-45 (under)
New Orleans Pelicans,14500,36.5,34-48 (under)
Washington Wizards,16000,42.5,49-33 (over)
Houston Rockets,16000,44,55-27 (over)
Miami Heat,17500,34.5,41-41 (over)
Milwaukee Bucks,18000,34.5,42-40 (over)
Orlando Magic,22500,37.5,29-53 (under)
Los Angeles Lakers,39000,24.5,26-56 (over)
Dallas Mavericks,39000,39.5,33-49 (under)
Philadelphia 76ers,50000,23.5,28-54 (over)
Sacramento Kings,50000,33.5,32-50 (under)
Denver Nuggets,50000,37,40-42 (over)
Charlotte Hornets,55000,42.5,36-46 (under)
Phoenix Suns,85000,29.5,24-58 (under)
Brooklyn Nets,135000,21.5,20-62 (under)
