Team,Odds,W-L O/U,Result
Golden State Warriors,-168,62.5,57-25 (under)
Boston Celtics,620,59,49-33 (under)
Houston Rockets,1000,56.5,53-29 (under)
Los Angeles Lakers,1800,48.5,37-45 (under)
Toronto Raptors,1850,55.5,58-24 (over)
Philadelphia 76ers,2000,53.5,51-31 (under)
Oklahoma City Thunder,3800,48.5,49-33 (over)
Utah Jazz,10000,49.5,50-32 (over)
San Antonio Spurs,10000,43.5,48-34 (over)
New Orleans Pelicans,10000,45.5,33-49 (under)
Milwaukee Bucks,10000,48,60-22 (over)
Washington Wizards,11000,45.5,32-50 (under)
Indiana Pacers,12500,47.5,48-34 (over)
Denver Nuggets,20000,47.5,54-28 (over)
Minnesota Timberwolves,25000,41.5,36-46 (under)
Portland Trail Blazers,30000,42,53-29 (over)
Miami Heat,35000,43,39-43 (under)
Detroit Pistons,35000,38.5,41-41 (over)
New York Knicks,35000,28.5,17-65 (under)
Dallas Mavericks,35000,35.5,33-49 (under)
Los Angeles Clippers,40000,37,48-34 (over)
Cleveland Cavaliers,50000,30.5,19-63 (under)
Chicago Bulls,50000,30,22-60 (under)
Charlotte Hornets,50000,35.5,39-43 (over)
Memphis Grizzlies,65000,34.5,33-49 (under)
Orlando Magic,75000,31,42-40 (over)
Phoenix Suns,75000,29,19-63 (under)
Brooklyn Nets,125000,32,42-40 (over)
Atlanta Hawks,150000,23.5,29-53 (over)
Sacramento Kings,200000,26,39-43 (over)
