Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
09 Jun 2018,Cleveland Cavaliers,Golden State Warriors,85,108,2.44,1.61,0,1,0
07 Jun 2018,Cleveland Cavaliers,Golden State Warriors,102,110,2.28,1.68,0,1,0
04 Jun 2018,Golden State Warriors,Cleveland Cavaliers,122,103,1.19,5.33,1,1,0
01 Jun 2018,Golden State Warriors,Cleveland Cavaliers,124,114,1.12,7.16,1,1,0
29 May 2018,Houston Rockets,Golden State Warriors,92,101,3.31,1.37,0,1,0
28 May 2018,Boston Celtics,Cleveland Cavaliers,79,87,1.70,2.25,0,1,0
27 May 2018,Golden State Warriors,Houston Rockets,115,86,1.11,7.62,1,1,0
26 May 2018,Cleveland Cavaliers,Boston Celtics,109,99,1.31,3.71,1,1,0
25 May 2018,Houston Rockets,Golden State Warriors,98,94,1.96,1.90,1,1,0
24 May 2018,Boston Celtics,Cleveland Cavaliers,96,83,1.83,2.05,1,1,0
23 May 2018,Golden State Warriors,Houston Rockets,92,95,1.25,4.32,0,1,0
22 May 2018,Cleveland Cavaliers,Boston Celtics,111,102,1.31,3.65,1,1,0
21 May 2018,Golden State Warriors,Houston Rockets,126,85,1.28,3.90,1,1,0
20 May 2018,Cleveland Cavaliers,Boston Celtics,116,86,1.34,3.46,1,1,0
17 May 2018,Houston Rockets,Golden State Warriors,127,105,1.81,2.07,1,1,0
16 May 2018,Boston Celtics,Cleveland Cavaliers,107,94,1.92,1.94,1,1,0
15 May 2018,Houston Rockets,Golden State Warriors,106,119,1.79,2.10,0,1,0
13 May 2018,Boston Celtics,Cleveland Cavaliers,108,83,1.99,1.88,1,1,0
10 May 2018,Boston Celtics,Philadelphia 76ers,114,112,1.83,2.05,1,1,0
09 May 2018,Golden State Warriors,New Orleans Pelicans,113,104,1.12,7.14,1,1,0
09 May 2018,Houston Rockets,Utah Jazz,112,102,1.11,7.51,1,1,0
08 May 2018,Cleveland Cavaliers,Toronto Raptors,128,93,1.47,2.79,1,1,0
07 May 2018,Philadelphia 76ers,Boston Celtics,103,92,1.31,3.68,1,1,0
07 May 2018,Utah Jazz,Houston Rockets,87,100,3.23,1.38,0,1,0
06 May 2018,New Orleans Pelicans,Golden State Warriors,92,118,3.15,1.39,0,1,0
06 May 2018,Cleveland Cavaliers,Toronto Raptors,105,103,1.53,2.64,1,1,0
05 May 2018,Philadelphia 76ers,Boston Celtics,98,101,1.20,4.82,0,1,0
05 May 2018,Utah Jazz,Houston Rockets,92,113,2.71,1.50,0,1,0
05 May 2018,New Orleans Pelicans,Golden State Warriors,119,100,2.83,1.46,1,1,0
04 May 2018,Boston Celtics,Philadelphia 76ers,108,103,2.49,1.58,1,1,0
03 May 2018,Toronto Raptors,Cleveland Cavaliers,110,128,1.35,3.40,0,1,0
03 May 2018,Houston Rockets,Utah Jazz,108,116,1.11,7.26,0,1,0
02 May 2018,Golden State Warriors,New Orleans Pelicans,121,116,1.13,6.61,1,1,0
02 May 2018,Toronto Raptors,Cleveland Cavaliers,112,113,1.36,3.32,0,1,0
01 May 2018,Boston Celtics,Philadelphia 76ers,117,101,2.72,1.50,1,1,0
29 Apr 2018,Houston Rockets,Utah Jazz,110,96,1.11,7.45,1,1,0
29 Apr 2018,Cleveland Cavaliers,Indiana Pacers,105,101,1.40,3.12,1,1,0
29 Apr 2018,Golden State Warriors,New Orleans Pelicans,123,101,1.30,3.79,1,1,0
29 Apr 2018,Boston Celtics,Milwaukee Bucks,112,96,1.49,2.74,1,1,0
28 Apr 2018,Utah Jazz,Oklahoma City Thunder,96,91,1.35,3.38,1,1,0
28 Apr 2018,Indiana Pacers,Cleveland Cavaliers,121,87,1.80,2.09,1,1,0
27 Apr 2018,Washington Wizards,Toronto Raptors,92,102,2.12,1.77,0,1,0
27 Apr 2018,Milwaukee Bucks,Boston Celtics,97,86,1.50,2.72,1,1,0
26 Apr 2018,Houston Rockets,Minnesota Timberwolves,122,104,1.09,8.25,1,1,0
26 Apr 2018,Oklahoma City Thunder,Utah Jazz,107,99,1.69,2.25,1,1,0
25 Apr 2018,Cleveland Cavaliers,Indiana Pacers,98,95,1.34,3.45,1,1,0
25 Apr 2018,Toronto Raptors,Washington Wizards,108,98,1.33,3.55,1,1,0
25 Apr 2018,Golden State Warriors,San Antonio Spurs,99,91,1.12,7.11,1,1,0
25 Apr 2018,Philadelphia 76ers,Miami Heat,104,91,1.16,5.76,1,1,0
24 Apr 2018,Boston Celtics,Milwaukee Bucks,92,87,1.52,2.67,1,1,0
24 Apr 2018,Utah Jazz,Oklahoma City Thunder,113,96,1.49,2.73,1,1,0
24 Apr 2018,Minnesota Timberwolves,Houston Rockets,100,119,3.08,1.41,0,1,0
23 Apr 2018,Indiana Pacers,Cleveland Cavaliers,100,104,2.05,1.82,0,1,0
22 Apr 2018,Washington Wizards,Toronto Raptors,106,98,2.04,1.83,1,1,0
22 Apr 2018,San Antonio Spurs,Golden State Warriors,103,90,3.36,1.35,1,1,0
22 Apr 2018,Milwaukee Bucks,Boston Celtics,104,102,1.43,2.98,1,1,0
22 Apr 2018,Utah Jazz,Oklahoma City Thunder,115,102,1.46,2.84,1,1,0
21 Apr 2018,Minnesota Timberwolves,Houston Rockets,121,105,3.07,1.41,1,1,0
21 Apr 2018,New Orleans Pelicans,Portland Trail Blazers,131,123,1.37,3.30,1,1,0
21 Apr 2018,Miami Heat,Philadelphia 76ers,102,106,2.49,1.59,0,1,0
21 Apr 2018,Milwaukee Bucks,Boston Celtics,116,92,1.47,2.82,1,1,0
21 Apr 2018,Washington Wizards,Toronto Raptors,122,103,1.89,1.97,1,1,0
20 Apr 2018,Indiana Pacers,Cleveland Cavaliers,92,90,1.83,2.05,1,1,0
20 Apr 2018,San Antonio Spurs,Golden State Warriors,97,110,2.43,1.61,0,1,0
20 Apr 2018,New Orleans Pelicans,Portland Trail Blazers,119,102,1.62,2.42,1,1,0
19 Apr 2018,Miami Heat,Philadelphia 76ers,108,128,2.24,1.70,0,1,0
19 Apr 2018,Houston Rockets,Minnesota Timberwolves,102,82,1.14,6.43,1,1,0
19 Apr 2018,Oklahoma City Thunder,Utah Jazz,95,102,1.59,2.46,0,1,0
18 Apr 2018,Cleveland Cavaliers,Indiana Pacers,100,97,1.24,4.35,1,1,0
18 Apr 2018,Portland Trail Blazers,New Orleans Pelicans,102,111,1.36,3.34,0,1,0
18 Apr 2018,Boston Celtics,Milwaukee Bucks,120,106,1.88,1.98,1,1,0
17 Apr 2018,Toronto Raptors,Washington Wizards,130,119,1.33,3.51,1,1,0
17 Apr 2018,Golden State Warriors,San Antonio Spurs,116,101,1.17,5.55,1,1,0
17 Apr 2018,Philadelphia 76ers,Miami Heat,103,113,1.34,3.47,0,1,0
16 Apr 2018,Houston Rockets,Minnesota Timberwolves,104,101,1.09,8.30,1,1,0
15 Apr 2018,Oklahoma City Thunder,Utah Jazz,116,108,1.51,2.69,1,1,0
15 Apr 2018,Cleveland Cavaliers,Indiana Pacers,80,98,1.28,3.90,0,1,0
15 Apr 2018,Boston Celtics,Milwaukee Bucks,113,107,1.59,2.47,1,1,0
15 Apr 2018,Portland Trail Blazers,New Orleans Pelicans,95,97,1.43,2.98,0,1,0
15 Apr 2018,Philadelphia 76ers,Miami Heat,130,103,1.40,3.10,1,1,0
14 Apr 2018,Toronto Raptors,Washington Wizards,114,106,1.26,4.07,1,1,0
14 Apr 2018,Golden State Warriors,San Antonio Spurs,113,92,1.25,4.28,1,1,0
12 Apr 2018,Los Angeles Clippers,Los Angeles Lakers,100,115,1.73,2.19,0,0,0
12 Apr 2018,Portland Trail Blazers,Utah Jazz,102,93,1.77,2.13,1,0,0
12 Apr 2018,Sacramento Kings,Houston Rockets,96,83,1.75,2.15,1,0,0
12 Apr 2018,Boston Celtics,Brooklyn Nets,110,97,2.54,1.57,1,0,0
12 Apr 2018,Chicago Bulls,Detroit Pistons,87,119,2.72,1.50,0,0,0
12 Apr 2018,Cleveland Cavaliers,New York Knicks,98,110,1.26,4.11,0,0,0
12 Apr 2018,Miami Heat,Toronto Raptors,116,109,1.70,2.25,1,0,0
